step,loss,accuracy,hidden,phase
0,0.262065,0.50,2,1
1,0.260417,0.50,2,1
2,0.258966,0.50,2,1
3,0.257585,0.50,2,1
4,0.256308,0.50,2,1
5,0.255158,0.50,2,1
6,0.254147,0.50,2,1
7,0.253280,0.50,2,1
8,0.252555,0.50,2,1
9,0.251964,0.50,2,1
10,0.251495,0.50,2,1
11,0.251131,0.50,2,1
12,0.250856,0.50,2,1
13,0.250652,0.50,2,1
14,0.250506,0.50,2,1
15,0.250403,0.50,2,1
16,0.250332,0.50,2,1
17,0.250284,0.50,2,1
18,0.250250,0.50,2,1
19,0.250225,0.50,2,1
20,0.250205,0.50,2,1
21,0.250190,0.50,2,1
22,0.250178,0.50,2,1
23,0.250169,0.50,2,1
24,0.250163,0.50,2,1
25,0.250160,0.50,2,1
26,0.250159,0.50,2,1
27,0.250160,0.50,2,1
28,0.250162,0.50,2,1
29,0.250165,0.50,2,1
30,0.250167,0.50,2,1
31,0.250168,0.50,2,1
32,0.250168,0.50,2,1
33,0.250166,0.50,2,1
34,0.250161,0.50,2,1
35,0.250154,0.50,2,1
36,0.250145,0.50,2,1
37,0.250132,0.50,2,1
38,0.250118,0.50,2,1
39,0.250101,0.50,2,1
40,0.250083,0.50,2,1
41,0.250063,0.50,2,1
42,0.250042,0.50,2,1
43,0.250019,0.50,2,1
44,0.249995,0.50,2,1
45,0.249970,0.50,2,1
46,0.249944,0.50,2,1
47,0.249916,0.50,2,1
48,0.249885,0.50,2,1
49,0.249851,0.50,2,1
50,0.249813,0.50,2,1
51,0.249768,0.50,2,1
52,0.249715,0.50,2,1
53,0.249651,0.50,2,1
54,0.249571,0.50,2,1
55,0.249472,0.50,2,1
56,0.249345,0.50,2,1
57,0.249184,0.50,2,1
58,0.248976,0.50,2,1
59,0.248710,0.50,2,1
60,0.248369,0.50,2,1
61,0.247936,0.50,2,1
62,0.247392,0.50,2,1
63,0.246716,0.50,2,1
64,0.245891,0.50,2,1
65,0.244900,0.50,2,1
66,0.243730,0.50,2,1
67,0.242369,0.50,2,1
68,0.240814,0.50,2,1
69,0.239063,0.50,2,1
70,0.237121,0.50,2,1
71,0.234996,0.50,2,1
72,0.232702,0.50,2,1
73,0.230257,0.50,2,1
74,0.227681,0.50,2,1
75,0.224996,0.50,2,1
76,0.222227,0.50,2,1
77,0.219397,0.50,2,1
78,0.216530,0.50,2,1
79,0.213648,0.50,2,1
80,0.210770,0.50,2,1
81,0.207913,0.50,2,1
82,0.205092,0.50,2,1
83,0.202320,0.50,2,1
84,0.199608,0.50,2,1
85,0.196963,0.50,2,1
86,0.194394,0.50,2,1
87,0.191904,0.50,2,1
88,0.189498,0.50,2,1
89,0.187178,0.50,2,1
90,0.184944,0.50,2,1
91,0.182797,0.50,2,1
92,0.180734,0.50,2,1
93,0.178753,0.50,2,1
94,0.176852,0.50,2,1
95,0.175027,0.50,2,1
96,0.173275,0.50,2,1
97,0.171593,0.50,2,1
98,0.169979,0.50,2,1
99,0.168430,0.50,2,1
100,0.166943,0.50,2,1
101,0.165517,0.50,2,1
102,0.164148,0.50,2,1
103,0.162834,0.50,2,1
104,0.161571,0.50,2,1
105,0.160358,0.50,2,1
106,0.159190,0.50,2,1
107,0.158066,0.50,2,1
108,0.156983,0.50,2,1
109,0.155939,0.50,2,1
110,0.154932,0.50,2,1
111,0.153959,0.50,2,1
112,0.153021,0.50,2,1
113,0.152114,0.50,2,1
114,0.151236,0.50,2,1
115,0.150387,0.50,2,1
116,0.149565,0.50,2,1
117,0.148767,0.50,2,1
118,0.147993,0.50,2,1
119,0.147242,0.50,2,1
120,0.146512,0.50,2,1
121,0.145803,0.50,2,1
122,0.145114,0.50,2,1
123,0.144445,0.50,2,1
124,0.143794,0.50,2,1
125,0.143160,0.50,2,1
126,0.142544,0.50,2,1
127,0.141943,0.50,2,1
128,0.141359,0.50,2,1
129,0.140790,0.50,2,1
130,0.140236,0.50,2,1
131,0.139697,0.50,2,1
132,0.139171,0.50,2,1
133,0.138659,0.50,2,1
134,0.138160,0.50,2,1
135,0.137673,0.50,2,1
136,0.137198,0.50,2,1
137,0.136734,0.50,2,1
138,0.136281,0.50,2,1
139,0.135838,0.50,2,1
140,0.135405,0.50,2,1
141,0.134981,0.50,2,1
142,0.134566,0.50,2,1
143,0.134160,0.50,2,1
144,0.133762,0.50,2,1
145,0.133371,0.50,2,1
146,0.132988,0.50,2,1
147,0.132612,0.50,2,1
148,0.132243,0.50,2,1
149,0.131881,0.50,2,1
150,0.131526,0.50,2,1
151,0.131177,0.50,2,1
152,0.130834,0.50,2,1
153,0.130497,0.50,2,1
154,0.130166,0.50,2,1
155,0.129841,0.50,2,1
156,0.129522,0.50,2,1
157,0.129208,0.50,2,1
158,0.128900,0.50,2,1
159,0.128597,0.50,2,1
160,0.128299,0.50,2,1
161,0.128006,0.50,2,1
162,0.127717,0.50,2,1
163,0.127433,0.50,2,1
164,0.127153,0.50,2,1
165,0.126878,0.50,2,1
166,0.126607,0.50,2,1
167,0.126340,0.50,2,1
168,0.126076,0.50,2,1
169,0.125817,0.50,2,1
170,0.125561,0.50,2,1
171,0.125308,0.50,2,1
172,0.125060,0.50,2,1
173,0.124814,0.50,2,1
174,0.124573,0.50,2,1
175,0.124334,0.50,2,1
176,0.124099,0.50,2,1
177,0.123866,0.50,2,1
178,0.123637,0.50,2,1
179,0.123411,0.50,2,1
180,0.123188,0.50,2,1
181,0.122968,0.50,2,1
182,0.122750,0.50,2,1
183,0.122535,0.50,2,1
184,0.122323,0.50,2,1
185,0.122114,0.50,2,1
186,0.121906,0.50,2,1
187,0.121702,0.50,2,1
188,0.121500,0.50,2,1
189,0.121300,0.50,2,1
190,0.121103,0.50,2,1
191,0.120908,0.50,2,1
192,0.120715,0.50,2,1
193,0.120524,0.50,2,1
194,0.120335,0.50,2,1
195,0.120149,0.50,2,1
196,0.119965,0.50,2,1
197,0.119782,0.50,2,1
198,0.119602,0.50,2,1
199,0.119424,0.50,2,1
200,0.300459,0.50,2,1
201,0.237385,0.50,16,2
202,0.230309,0.50,16,2
203,0.214577,0.50,16,2
204,0.181491,0.50,16,2
205,0.157590,0.50,16,2
206,0.159059,0.50,16,2
207,0.158155,0.50,16,2
208,0.144249,0.50,16,2
209,0.130909,0.50,16,2
210,0.127008,0.50,16,2
211,0.128580,0.50,16,2
212,0.126116,0.50,16,2
213,0.117082,0.50,16,2
214,0.106083,0.50,16,2
215,0.098145,0.75,16,2
216,0.093667,0.75,16,2
217,0.088936,0.75,16,2
218,0.081437,0.75,16,2
219,0.072802,0.75,16,2
220,0.066183,0.75,16,2
221,0.062390,0.75,16,2
222,0.059487,0.75,16,2
223,0.055566,0.75,16,2
224,0.050646,0.75,16,2
225,0.045993,0.75,16,2
226,0.042452,0.75,16,2
227,0.039729,0.75,16,2
228,0.037011,0.75,16,2
229,0.033891,0.75,16,2
230,0.030627,0.75,16,2
231,0.027714,0.75,16,2
232,0.025415,0.75,16,2
233,0.023643,0.75,16,2
234,0.022131,0.75,16,2
235,0.020664,0.75,16,2
236,0.019182,0.75,16,2
237,0.017749,0.75,16,2
238,0.016459,0.75,16,2
239,0.015361,0.75,16,2
240,0.014440,0.75,16,2
241,0.013639,0.75,16,2
242,0.012902,0.75,16,2
243,0.012196,0.75,16,2
244,0.011513,0.75,16,2
245,0.010868,0.75,16,2
246,0.010276,0.75,16,2
247,0.009746,1.00,16,2
248,0.009277,1.00,16,2
249,0.008857,1.00,16,2
250,0.008473,1.00,16,2
251,0.008112,1.00,16,2
252,0.007766,1.00,16,2
253,0.007432,1.00,16,2
254,0.007111,1.00,16,2
255,0.006806,1.00,16,2
256,0.006521,1.00,16,2
257,0.006256,1.00,16,2
258,0.006012,1.00,16,2
259,0.005788,1.00,16,2
260,0.005580,1.00,16,2
261,0.005387,1.00,16,2
262,0.005206,1.00,16,2
263,0.005034,1.00,16,2
264,0.004871,1.00,16,2
265,0.004717,1.00,16,2
266,0.004570,1.00,16,2
267,0.004432,1.00,16,2
268,0.004301,1.00,16,2
269,0.004177,1.00,16,2
270,0.004061,1.00,16,2
271,0.003951,1.00,16,2
272,0.003847,1.00,16,2
273,0.003749,1.00,16,2
274,0.003654,1.00,16,2
275,0.003564,1.00,16,2
276,0.003478,1.00,16,2
277,0.003395,1.00,16,2
278,0.003316,1.00,16,2
279,0.003239,1.00,16,2
280,0.003166,1.00,16,2
281,0.003096,1.00,16,2
282,0.003029,1.00,16,2
283,0.002965,1.00,16,2
284,0.002903,1.00,16,2
285,0.002844,1.00,16,2
286,0.002788,1.00,16,2
287,0.002733,1.00,16,2
288,0.002681,1.00,16,2
289,0.002630,1.00,16,2
290,0.002581,1.00,16,2
291,0.002534,1.00,16,2
292,0.002488,1.00,16,2
293,0.002443,1.00,16,2
294,0.002400,1.00,16,2
295,0.002359,1.00,16,2
296,0.002319,1.00,16,2
297,0.002279,1.00,16,2
298,0.002242,1.00,16,2
299,0.002205,1.00,16,2
300,0.002169,1.00,16,2
301,0.002135,1.00,16,2
302,0.002101,1.00,16,2
303,0.002069,1.00,16,2
304,0.002037,1.00,16,2
305,0.002006,1.00,16,2
306,0.001976,1.00,16,2
307,0.001947,1.00,16,2
308,0.001918,1.00,16,2
309,0.001890,1.00,16,2
310,0.001863,1.00,16,2
311,0.001837,1.00,16,2
312,0.001811,1.00,16,2
313,0.001786,1.00,16,2
314,0.001761,1.00,16,2
315,0.001737,1.00,16,2
316,0.001714,1.00,16,2
317,0.001691,1.00,16,2
318,0.001669,1.00,16,2
319,0.001647,1.00,16,2
320,0.001626,1.00,16,2
