step,loss,hidden
310,0.020681,16
311,0.020681,16
312,0.019660,16
313,0.019660,16
314,0.018719,16
315,0.018719,16
316,0.017838,16
317,0.017838,16
318,0.017013,16
319,0.017013,16
320,0.016249,16
321,0.016249,16
322,0.015547,16
323,0.015547,16
324,0.014895,16
325,0.014895,16
326,0.014285,16
327,0.014285,16
328,0.013714,16
329,0.013714,16
330,0.013182,16
331,0.013182,16
332,0.012690,16
333,0.012690,16
334,0.012231,16
335,0.012231,16
336,0.011799,16
337,0.011799,16
338,0.011391,16
339,0.011391,16
340,0.011008,16
341,0.011008,16
342,0.010649,16
343,0.010649,16
344,0.010312,16
345,0.010312,16
346,0.009995,16
347,0.009995,16
348,0.009695,16
349,0.009695,16
350,0.009410,16
351,0.009410,16
352,0.009141,16
353,0.009141,16
354,0.008886,16
355,0.008886,16
356,0.008645,16
357,0.008645,16
358,0.008416,16
359,0.008416,16
360,0.008197,16
361,0.008197,16
362,0.007989,16
363,0.007989,16
364,0.007790,16
365,0.007790,16
366,0.007600,16
367,0.007600,16
368,0.007419,16
369,0.007419,16
370,0.007246,16
371,0.007246,16
372,0.007080,16
373,0.007080,16
374,0.006921,16
375,0.006921,16
376,0.006768,16
377,0.006768,16
378,0.006622,16
379,0.006622,16
380,0.006481,16
381,0.006481,16
382,0.006345,16
383,0.006345,16
384,0.006215,16
385,0.006215,16
386,0.006089,16
387,0.006089,16
388,0.005968,16
389,0.005968,16
390,0.005850,16
391,0.005850,16
392,0.005737,16
393,0.005737,16
394,0.005628,16
395,0.005628,16
396,0.005522,16
397,0.005522,16
398,0.005419,16
399,0.005419,16
400,0.005320,16
401,0.005320,16
402,0.005224,16
403,0.005224,16
404,0.005130,16
405,0.005130,16
406,0.005040,16
407,0.005040,16
408,0.004951,16
409,0.004951,16
410,0.004866,16
411,0.004866,16
412,0.004783,16
413,0.004783,16
414,0.004702,16
415,0.004702,16
416,0.004623,16
417,0.004623,16
418,0.004546,16
419,0.004546,16
420,0.004472,16
421,0.004472,16
422,0.004399,16
423,0.004399,16
424,0.004328,16
425,0.004328,16
426,0.004259,16
427,0.004259,16
428,0.004191,16
429,0.004191,16
430,0.004125,16
431,0.004125,16
432,0.004061,16
433,0.004061,16
434,0.003998,16
435,0.003998,16
436,0.003937,16
437,0.003937,16
438,0.003877,16
439,0.003877,16
440,0.003818,16
441,0.003818,16
442,0.003760,16
443,0.003760,16
444,0.003704,16
445,0.003704,16
446,0.003649,16
447,0.003649,16
448,0.003596,16
449,0.003596,16
450,0.003543,16
451,0.003543,16
452,0.003491,16
453,0.003491,16
454,0.003441,16
455,0.003441,16
456,0.003392,16
457,0.003392,16
458,0.003343,16
459,0.003343,16
460,0.003296,16
461,0.003296,16
462,0.003249,16
463,0.003249,16
464,0.003203,16
465,0.003203,16
466,0.003159,16
467,0.003159,16
468,0.003115,16
469,0.003115,16
470,0.003072,16
471,0.003072,16
472,0.003030,16
473,0.003030,16
474,0.002988,16
475,0.002988,16
476,0.002947,16
477,0.002947,16
478,0.002907,16
479,0.002907,16
480,0.002868,16
481,0.002868,16
482,0.002830,16
483,0.002830,16
484,0.002792,16
485,0.002792,16
486,0.002755,16
487,0.002755,16
488,0.002718,16
489,0.002718,16
490,0.002682,16
491,0.002682,16
492,0.002647,16
493,0.002647,16
494,0.002613,16
495,0.002613,16
496,0.002579,16
497,0.002579,16
498,0.002545,16
499,0.002545,16
500,0.002512,16
501,0.002512,16
502,0.002480,16
503,0.002480,16
504,0.002448,16
505,0.002448,16
506,0.002417,16
507,0.002417,16
508,0.002386,16
509,0.002386,16
510,0.002356,16
511,0.002356,16
512,0.002327,16
513,0.002327,16
514,0.002297,16
515,0.002297,16
516,0.002269,16
517,0.002269,16
518,0.002240,16
519,0.002240,16
520,0.002212,16
521,0.002212,16
522,0.002185,16
523,0.002185,16
524,0.002158,16
525,0.002158,16
526,0.002132,16
527,0.002132,16
528,0.002106,16
529,0.002106,16
530,0.002080,16
531,0.002080,16
532,0.002055,16
533,0.002055,16
534,0.002030,16
535,0.002030,16
536,0.002005,16
537,0.002005,16
538,0.001981,16
539,0.001981,16
540,0.001981,16
541,0.001981,16
