step,loss,accuracy,hidden,phase
0,0.282629,0.50,2,1
1,0.277721,0.50,2,1
2,0.273334,0.50,2,1
3,0.269459,0.50,2,1
4,0.266066,0.50,2,1
5,0.263120,0.50,2,1
6,0.260590,0.50,2,1
7,0.258446,0.50,2,1
8,0.256660,0.50,2,1
9,0.255203,0.50,2,1
10,0.254043,0.50,2,1
11,0.253148,0.50,2,1
12,0.252487,0.50,2,1
13,0.252031,0.50,2,1
14,0.251750,0.50,2,1
15,0.251611,0.50,2,1
16,0.251578,0.50,2,1
17,0.251611,0.50,2,1
18,0.251671,0.50,2,1
19,0.251723,0.50,2,1
20,0.251745,0.50,2,1
21,0.251723,0.50,2,1
22,0.251652,0.50,2,1
23,0.251531,0.50,2,1
24,0.251363,0.50,2,1
25,0.251151,0.50,2,1
26,0.250899,0.50,2,1
27,0.250610,0.50,2,1
28,0.250289,0.50,2,1
29,0.249937,0.50,2,1
30,0.249556,0.50,2,1
31,0.249148,0.50,2,1
32,0.248714,0.50,2,1
33,0.248252,0.50,2,1
34,0.247763,0.50,2,1
35,0.247246,0.50,2,1
36,0.246698,0.50,2,1
37,0.246119,0.50,2,1
38,0.245504,0.50,2,1
39,0.244852,0.50,2,1
40,0.244158,0.50,2,1
41,0.243421,0.50,2,1
42,0.242636,0.50,2,1
43,0.241801,0.50,2,1
44,0.240914,0.50,2,1
45,0.239975,0.50,2,1
46,0.238982,0.50,2,1
47,0.237936,0.50,2,1
48,0.236839,0.50,2,1
49,0.235692,0.50,2,1
50,0.234499,0.50,2,1
51,0.233264,0.50,2,1
52,0.231990,0.50,2,1
53,0.230681,0.50,2,1
54,0.229343,0.50,2,1
55,0.227981,0.50,2,1
56,0.226597,0.50,2,1
57,0.225198,0.50,2,1
58,0.223787,0.50,2,1
59,0.222369,0.50,2,1
60,0.220946,0.50,2,1
61,0.219522,0.50,2,1
62,0.218099,0.50,2,1
63,0.216681,0.50,2,1
64,0.215269,0.50,2,1
65,0.213866,0.50,2,1
66,0.212473,0.50,2,1
67,0.211092,0.50,2,1
68,0.209724,0.50,2,1
69,0.208370,0.50,2,1
70,0.207030,0.50,2,1
71,0.205707,0.50,2,1
72,0.204400,0.50,2,1
73,0.203110,0.50,2,1
74,0.201837,0.50,2,1
75,0.200582,0.50,2,1
76,0.199345,0.50,2,1
77,0.198126,0.50,2,1
78,0.196926,0.50,2,1
79,0.195743,0.50,2,1
80,0.194579,0.50,2,1
81,0.193433,0.50,2,1
82,0.192305,0.50,2,1
83,0.191195,0.50,2,1
84,0.190104,0.50,2,1
85,0.189030,0.50,2,1
86,0.187975,0.50,2,1
87,0.186937,0.50,2,1
88,0.185918,0.50,2,1
89,0.184917,0.50,2,1
90,0.183934,0.50,2,1
91,0.182970,0.50,2,1
92,0.182023,0.50,2,1
93,0.181094,0.50,2,1
94,0.180183,0.50,2,1
95,0.179289,0.50,2,1
96,0.178412,0.50,2,1
97,0.177552,0.50,2,1
98,0.176708,0.50,2,1
99,0.175880,0.50,2,1
100,0.175068,0.50,2,1
101,0.174270,0.50,2,1
102,0.173487,0.50,2,1
103,0.172718,0.50,2,1
104,0.171964,0.50,2,1
105,0.171223,0.50,2,1
