step,loss,accuracy,hidden,phase
0,0.283921,0.50,2,1
1,0.277932,0.50,2,1
2,0.272574,0.50,2,1
3,0.267869,0.50,2,1
4,0.263819,0.50,2,1
5,0.260406,0.50,2,1
6,0.257594,0.50,2,1
7,0.255336,0.50,2,1
8,0.253574,0.50,2,1
9,0.252244,0.50,2,1
10,0.251285,0.50,2,1
11,0.250633,0.50,2,1
12,0.250233,0.50,2,1
13,0.250029,0.50,2,1
14,0.249976,0.50,2,1
15,0.250030,0.50,2,1
16,0.250156,0.50,2,1
17,0.250322,0.50,2,1
18,0.250503,0.50,2,1
19,0.250680,0.50,2,1
20,0.250837,0.50,2,1
21,0.250966,0.50,2,1
22,0.251060,0.50,2,1
23,0.251116,0.50,2,1
24,0.251136,0.50,2,1
25,0.251123,0.50,2,1
26,0.251079,0.50,2,1
27,0.251012,0.50,2,1
28,0.250926,0.50,2,1
29,0.250828,0.50,2,1
30,0.250722,0.50,2,1
31,0.250615,0.50,2,1
32,0.250510,0.50,2,1
33,0.250411,0.50,2,1
34,0.250320,0.50,2,1
35,0.250240,0.50,2,1
36,0.250172,0.50,2,1
37,0.250116,0.50,2,1
38,0.250072,0.50,2,1
39,0.250040,0.50,2,1
40,0.250018,0.50,2,1
41,0.250005,0.50,2,1
42,0.250000,0.50,2,1
43,0.250001,0.50,2,1
44,0.250006,0.50,2,1
45,0.250014,0.50,2,1
46,0.250024,0.50,2,1
47,0.250033,0.50,2,1
48,0.250042,0.50,2,1
49,0.250049,0.50,2,1
50,0.250053,0.50,2,1
51,0.250056,0.50,2,1
52,0.250055,0.50,2,1
53,0.250052,0.50,2,1
54,0.250047,0.50,2,1
55,0.250040,0.50,2,1
56,0.250032,0.50,2,1
57,0.250022,0.50,2,1
58,0.250012,0.50,2,1
59,0.250003,0.50,2,1
60,0.249993,0.50,2,1
61,0.249984,0.50,2,1
62,0.249977,0.50,2,1
63,0.249970,0.50,2,1
64,0.249964,0.50,2,1
65,0.249959,0.50,2,1
66,0.249955,0.50,2,1
67,0.249952,0.50,2,1
68,0.249950,0.50,2,1
69,0.249948,0.50,2,1
70,0.249946,0.50,2,1
71,0.249945,0.50,2,1
72,0.249943,0.50,2,1
73,0.249941,0.50,2,1
74,0.249939,0.50,2,1
75,0.249937,0.50,2,1
76,0.249934,0.50,2,1
77,0.249930,0.50,2,1
78,0.249927,0.50,2,1
79,0.249923,0.50,2,1
80,0.249918,0.50,2,1
81,0.249913,0.50,2,1
82,0.249909,0.50,2,1
83,0.249904,0.50,2,1
84,0.249898,0.50,2,1
85,0.249893,0.50,2,1
86,0.249888,0.50,2,1
87,0.249882,0.50,2,1
88,0.249877,0.50,2,1
89,0.249871,0.50,2,1
90,0.249864,0.50,2,1
91,0.249858,0.50,2,1
92,0.249851,0.50,2,1
93,0.249844,0.50,2,1
94,0.249836,0.50,2,1
95,0.249828,0.50,2,1
96,0.249819,0.50,2,1
97,0.249809,0.50,2,1
98,0.249799,0.50,2,1
99,0.249788,0.50,2,1
100,0.249776,0.50,2,1
101,0.249763,0.50,2,1
102,0.249749,0.50,2,1
103,0.249734,0.50,2,1
104,0.249717,0.50,2,1
105,0.249700,0.50,2,1
106,0.249681,0.50,2,1
107,0.249660,0.50,2,1
108,0.249638,0.50,2,1
109,0.249614,0.50,2,1
110,0.249588,0.50,2,1
111,0.249559,0.50,2,1
112,0.249528,0.50,2,1
113,0.249495,0.50,2,1
114,0.249458,0.50,2,1
115,0.249417,0.50,2,1
116,0.249373,0.50,2,1
117,0.249325,0.50,2,1
118,0.249272,0.50,2,1
119,0.249215,0.50,2,1
120,0.249151,0.50,2,1
121,0.249082,0.50,2,1
122,0.249006,0.50,2,1
123,0.248922,0.50,2,1
124,0.248830,0.50,2,1
125,0.248729,0.50,2,1
126,0.248618,0.50,2,1
127,0.248497,0.50,2,1
128,0.248363,0.50,2,1
129,0.248217,0.50,2,1
130,0.248057,0.50,2,1
131,0.247882,0.50,2,1
132,0.247691,0.50,2,1
133,0.247483,0.50,2,1
134,0.247257,0.50,2,1
135,0.247011,0.50,2,1
136,0.246744,0.50,2,1
137,0.246457,0.50,2,1
138,0.246147,0.50,2,1
139,0.245814,0.50,2,1
140,0.245457,0.50,2,1
141,0.245076,0.50,2,1
142,0.244671,0.50,2,1
143,0.244241,0.50,2,1
144,0.243786,0.50,2,1
145,0.243305,0.50,2,1
146,0.242800,0.50,2,1
147,0.242270,0.50,2,1
148,0.241715,0.50,2,1
149,0.241134,0.50,2,1
150,0.240529,0.50,2,1
151,0.239898,0.50,2,1
152,0.239242,0.50,2,1
153,0.238559,0.50,2,1
154,0.237849,0.50,2,1
155,0.237111,0.50,2,1
156,0.236344,0.50,2,1
157,0.235545,0.50,2,1
158,0.234714,0.50,2,1
159,0.233848,0.50,2,1
160,0.232945,0.50,2,1
161,0.232003,0.50,2,1
162,0.231019,0.50,2,1
163,0.229992,0.50,2,1
164,0.228920,0.50,2,1
165,0.227802,0.50,2,1
166,0.226639,0.50,2,1
167,0.225429,0.50,2,1
168,0.224175,0.50,2,1
169,0.222879,0.50,2,1
170,0.221544,0.50,2,1
171,0.220173,0.50,2,1
172,0.218772,0.50,2,1
173,0.217345,0.50,2,1
174,0.215901,0.50,2,1
175,0.214444,0.50,2,1
176,0.212981,0.50,2,1
177,0.211522,0.50,2,1
178,0.210071,0.50,2,1
179,0.208636,0.50,2,1
180,0.207224,0.50,2,1
181,0.205840,0.50,2,1
182,0.204490,0.50,2,1
183,0.203179,0.50,2,1
184,0.201910,0.50,2,1
185,0.200687,0.50,2,1
186,0.199511,0.50,2,1
187,0.198386,0.50,2,1
188,0.197310,0.50,2,1
189,0.196286,0.50,2,1
190,0.195313,0.50,2,1
191,0.194390,0.50,2,1
192,0.193516,0.50,2,1
193,0.192690,0.50,2,1
194,0.191911,0.50,2,1
195,0.191177,0.50,2,1
196,0.190486,0.50,2,1
197,0.189835,0.50,2,1
198,0.189224,0.50,2,1
199,0.188649,0.50,2,1
200,0.188110,0.50,2,1
201,0.245649,0.50,16,2
202,0.265772,0.50,16,2
203,0.221187,0.50,16,2
204,0.210907,0.50,16,2
205,0.206377,0.50,16,2
206,0.175188,0.50,16,2
207,0.173835,0.50,16,2
208,0.169559,0.50,16,2
209,0.148706,0.50,16,2
210,0.135719,0.50,16,2
211,0.131904,0.50,16,2
212,0.117713,0.50,16,2
213,0.098273,0.75,16,2
214,0.086619,0.75,16,2
215,0.075740,0.75,16,2
216,0.059554,0.75,16,2
217,0.046178,0.75,16,2
218,0.038949,0.75,16,2
219,0.032335,0.75,16,2
220,0.024838,0.75,16,2
221,0.018904,0.75,16,2
222,0.015217,0.75,16,2
223,0.012694,0.75,16,2
224,0.010455,0.75,16,2
225,0.008342,1.00,16,2
226,0.006528,1.00,16,2
227,0.005134,1.00,16,2
228,0.004141,1.00,16,2
229,0.003456,1.00,16,2
230,0.002974,1.00,16,2
231,0.002617,1.00,16,2
232,0.002332,1.00,16,2
233,0.002091,1.00,16,2
234,0.001879,1.00,16,2
