step,loss,accuracy,hidden,phase
0,0.251859,0.50,2,1
1,0.250775,0.50,2,1
2,0.249973,0.50,2,1
3,0.249448,0.50,2,1
4,0.249166,0.50,2,1
5,0.249049,0.50,2,1
6,0.248977,0.50,2,1
7,0.248840,0.50,2,1
8,0.248578,0.50,2,1
9,0.248180,0.50,2,1
10,0.247661,0.50,2,1
11,0.247043,0.50,2,1
12,0.246347,0.50,2,1
13,0.245584,0.50,2,1
14,0.244763,0.50,2,1
15,0.243886,0.50,2,1
16,0.242952,0.50,2,1
17,0.241959,0.50,2,1
18,0.240902,0.50,2,1
19,0.239777,0.50,2,1
20,0.238579,0.50,2,1
21,0.237304,0.50,2,1
22,0.235952,0.50,2,1
23,0.234528,0.50,2,1
24,0.233038,0.50,2,1
25,0.231493,0.50,2,1
26,0.229903,0.50,2,1
27,0.228280,0.50,2,1
28,0.226633,0.50,2,1
29,0.224970,0.50,2,1
30,0.223298,0.50,2,1
31,0.221622,0.50,2,1
32,0.219945,0.50,2,1
33,0.218271,0.50,2,1
34,0.216604,0.50,2,1
35,0.214951,0.50,2,1
36,0.213317,0.50,2,1
37,0.211707,0.50,2,1
38,0.210128,0.50,2,1
39,0.208585,0.50,2,1
40,0.207080,0.50,2,1
41,0.205616,0.50,2,1
42,0.204194,0.50,2,1
43,0.202815,0.50,2,1
44,0.201478,0.50,2,1
45,0.200185,0.50,2,1
46,0.198935,0.50,2,1
47,0.197730,0.50,2,1
48,0.196570,0.50,2,1
49,0.195456,0.50,2,1
50,0.194388,0.50,2,1
51,0.193364,0.50,2,1
52,0.192383,0.50,2,1
53,0.191445,0.50,2,1
54,0.190547,0.50,2,1
55,0.189688,0.50,2,1
56,0.188867,0.50,2,1
57,0.188082,0.50,2,1
58,0.187333,0.50,2,1
59,0.186619,0.50,2,1
60,0.185937,0.50,2,1
61,0.185287,0.50,2,1
62,0.184667,0.50,2,1
63,0.184076,0.50,2,1
64,0.183512,0.50,2,1
65,0.182974,0.50,2,1
66,0.182461,0.50,2,1
67,0.181971,0.50,2,1
68,0.181503,0.50,2,1
69,0.181057,0.50,2,1
70,0.180631,0.50,2,1
71,0.180225,0.50,2,1
72,0.179836,0.50,2,1
73,0.179465,0.50,2,1
74,0.179111,0.50,2,1
75,0.178771,0.50,2,1
76,0.178447,0.50,2,1
77,0.178136,0.50,2,1
78,0.177839,0.50,2,1
79,0.177554,0.50,2,1
80,0.177281,0.50,2,1
81,0.177019,0.50,2,1
82,0.176769,0.50,2,1
83,0.176528,0.50,2,1
84,0.176297,0.50,2,1
85,0.176074,0.50,2,1
86,0.175861,0.50,2,1
87,0.175656,0.50,2,1
88,0.175458,0.50,2,1
89,0.175268,0.50,2,1
90,0.175085,0.50,2,1
91,0.174908,0.50,2,1
92,0.174738,0.50,2,1
93,0.174575,0.50,2,1
94,0.174416,0.50,2,1
95,0.174264,0.50,2,1
96,0.174116,0.50,2,1
97,0.173973,0.50,2,1
98,0.173836,0.50,2,1
99,0.173702,0.50,2,1
100,0.173573,0.50,2,1
101,0.173449,0.50,2,1
102,0.173328,0.50,2,1
103,0.173210,0.50,2,1
104,0.173097,0.50,2,1
105,0.172987,0.50,2,1
106,0.172880,0.50,2,1
107,0.172776,0.50,2,1
108,0.172676,0.50,2,1
109,0.172578,0.50,2,1
110,0.172483,0.50,2,1
111,0.172391,0.50,2,1
112,0.172301,0.50,2,1
113,0.172213,0.50,2,1
114,0.172128,0.50,2,1
115,0.172046,0.50,2,1
116,0.171965,0.50,2,1
117,0.171887,0.50,2,1
118,0.171810,0.50,2,1
119,0.171736,0.50,2,1
120,0.171663,0.50,2,1
121,0.171592,0.50,2,1
122,0.171523,0.50,2,1
123,0.171456,0.50,2,1
124,0.171390,0.50,2,1
125,0.171326,0.50,2,1
126,0.171263,0.50,2,1
127,0.171202,0.50,2,1
128,0.171142,0.50,2,1
129,0.171084,0.50,2,1
130,0.171026,0.50,2,1
131,0.170970,0.50,2,1
132,0.170916,0.50,2,1
133,0.170862,0.50,2,1
134,0.170810,0.50,2,1
135,0.170759,0.50,2,1
136,0.170708,0.50,2,1
137,0.170659,0.50,2,1
138,0.170611,0.50,2,1
139,0.170564,0.50,2,1
140,0.170518,0.50,2,1
141,0.170473,0.50,2,1
142,0.170428,0.50,2,1
143,0.170385,0.50,2,1
144,0.170342,0.50,2,1
145,0.170300,0.50,2,1
146,0.170259,0.50,2,1
147,0.170219,0.50,2,1
148,0.170180,0.50,2,1
149,0.170141,0.50,2,1
150,0.170103,0.50,2,1
151,0.170066,0.50,2,1
152,0.170029,0.50,2,1
153,0.169993,0.50,2,1
154,0.169958,0.50,2,1
155,0.169923,0.50,2,1
156,0.169889,0.50,2,1
157,0.169856,0.50,2,1
158,0.169823,0.50,2,1
159,0.169791,0.50,2,1
160,0.169759,0.50,2,1
161,0.169728,0.50,2,1
162,0.169697,0.50,2,1
163,0.169667,0.50,2,1
164,0.169637,0.50,2,1
165,0.169608,0.50,2,1
166,0.169579,0.50,2,1
167,0.169551,0.50,2,1
168,0.169523,0.50,2,1
169,0.169496,0.50,2,1
170,0.169469,0.50,2,1
171,0.169443,0.50,2,1
172,0.169417,0.50,2,1
173,0.169391,0.50,2,1
174,0.169366,0.50,2,1
175,0.169341,0.50,2,1
176,0.169317,0.50,2,1
177,0.169292,0.50,2,1
178,0.169269,0.50,2,1
179,0.169245,0.50,2,1
180,0.169222,0.50,2,1
181,0.169200,0.50,2,1
182,0.169177,0.50,2,1
183,0.169155,0.50,2,1
184,0.169134,0.50,2,1
185,0.169112,0.50,2,1
186,0.169091,0.50,2,1
187,0.169070,0.50,2,1
188,0.169050,0.50,2,1
189,0.169030,0.50,2,1
190,0.169010,0.50,2,1
191,0.168990,0.50,2,1
192,0.168971,0.50,2,1
193,0.168952,0.50,2,1
194,0.168933,0.50,2,1
195,0.168914,0.50,2,1
196,0.168896,0.50,2,1
197,0.168878,0.50,2,1
198,0.168860,0.50,2,1
199,0.168842,0.50,2,1
200,0.362515,0.50,2,1
201,0.343583,0.50,16,2
202,0.303360,0.50,16,2
203,0.257647,0.50,16,2
204,0.237888,0.50,16,2
205,0.176437,0.50,16,2
206,0.193282,0.50,16,2
207,0.146495,0.50,16,2
208,0.168175,0.50,16,2
209,0.147579,0.50,16,2
210,0.130269,0.50,16,2
211,0.131941,0.50,16,2
212,0.110319,0.50,16,2
213,0.095423,0.75,16,2
214,0.097047,0.75,16,2
215,0.083574,0.75,16,2
216,0.070577,0.75,16,2
217,0.072556,0.75,16,2
218,0.061748,0.75,16,2
219,0.048777,0.75,16,2
220,0.046990,0.75,16,2
221,0.042393,0.75,16,2
222,0.033619,0.75,16,2
223,0.029573,0.75,16,2
224,0.028978,0.75,16,2
225,0.026430,0.75,16,2
226,0.022499,0.75,16,2
227,0.020054,0.75,16,2
228,0.018970,0.75,16,2
229,0.017618,0.75,16,2
