step,loss,accuracy,hidden,phase
0,0.272297,0.50,2,1
1,0.267980,0.50,2,1
2,0.264199,0.50,2,1
3,0.260956,0.50,2,1
4,0.258238,0.50,2,1
5,0.256014,0.50,2,1
6,0.254241,0.50,2,1
7,0.252866,0.50,2,1
8,0.251836,0.50,2,1
9,0.251098,0.50,2,1
10,0.250602,0.50,2,1
11,0.250302,0.50,2,1
12,0.250155,0.50,2,1
13,0.250121,0.50,2,1
14,0.250166,0.50,2,1
15,0.250259,0.50,2,1
16,0.250374,0.50,2,1
17,0.250489,0.50,2,1
18,0.250589,0.50,2,1
19,0.250659,0.50,2,1
20,0.250693,0.50,2,1
21,0.250687,0.50,2,1
22,0.250640,0.50,2,1
23,0.250553,0.50,2,1
24,0.250430,0.50,2,1
25,0.250275,0.50,2,1
26,0.250093,0.50,2,1
27,0.249888,0.50,2,1
28,0.249667,0.50,2,1
29,0.249431,0.50,2,1
30,0.249184,0.50,2,1
31,0.248928,0.50,2,1
32,0.248663,0.50,2,1
33,0.248390,0.50,2,1
34,0.248104,0.50,2,1
35,0.247805,0.50,2,1
36,0.247486,0.50,2,1
37,0.247144,0.50,2,1
38,0.246772,0.50,2,1
39,0.246364,0.50,2,1
40,0.245913,0.50,2,1
41,0.245414,0.50,2,1
42,0.244861,0.50,2,1
43,0.244249,0.50,2,1
44,0.243573,0.50,2,1
45,0.242831,0.50,2,1
46,0.242020,0.50,2,1
47,0.241139,0.50,2,1
48,0.240189,0.50,2,1
49,0.239171,0.50,2,1
50,0.238086,0.50,2,1
51,0.236939,0.50,2,1
52,0.235732,0.50,2,1
53,0.234470,0.50,2,1
54,0.233158,0.50,2,1
55,0.231801,0.50,2,1
56,0.230405,0.50,2,1
57,0.228974,0.50,2,1
58,0.227516,0.50,2,1
59,0.226033,0.50,2,1
60,0.224533,0.50,2,1
61,0.223020,0.50,2,1
62,0.221498,0.50,2,1
63,0.219973,0.50,2,1
64,0.218447,0.50,2,1
65,0.216924,0.50,2,1
66,0.215408,0.50,2,1
67,0.213901,0.50,2,1
68,0.212406,0.50,2,1
69,0.210924,0.50,2,1
70,0.209457,0.50,2,1
71,0.208006,0.50,2,1
72,0.206573,0.50,2,1
73,0.205158,0.50,2,1
74,0.203761,0.50,2,1
75,0.202385,0.50,2,1
76,0.201028,0.50,2,1
77,0.199691,0.50,2,1
78,0.198376,0.50,2,1
79,0.197082,0.50,2,1
80,0.195811,0.50,2,1
81,0.194561,0.50,2,1
82,0.193335,0.50,2,1
83,0.192131,0.50,2,1
84,0.190951,0.50,2,1
85,0.189793,0.50,2,1
86,0.188657,0.50,2,1
87,0.187542,0.50,2,1
88,0.186448,0.50,2,1
89,0.185374,0.50,2,1
90,0.184318,0.50,2,1
91,0.183281,0.50,2,1
92,0.182262,0.50,2,1
93,0.181261,0.50,2,1
94,0.180276,0.50,2,1
95,0.179309,0.50,2,1
96,0.178358,0.50,2,1
97,0.177424,0.50,2,1
98,0.176505,0.50,2,1
99,0.175602,0.50,2,1
100,0.174713,0.50,2,1
101,0.173837,0.50,2,1
102,0.172973,0.50,2,1
103,0.172120,0.50,2,1
104,0.171277,0.50,2,1
105,0.170444,0.50,2,1
106,0.169619,0.50,2,1
107,0.168803,0.50,2,1
108,0.167995,0.50,2,1
109,0.167192,0.50,2,1
110,0.166396,0.50,2,1
111,0.165605,0.50,2,1
112,0.164817,0.50,2,1
113,0.164034,0.50,2,1
114,0.163253,0.50,2,1
115,0.162474,0.50,2,1
116,0.161698,0.50,2,1
117,0.160925,0.50,2,1
118,0.160153,0.50,2,1
