step,loss,accuracy,hidden,phase
0,0.261011,0.50,2,1
1,0.258166,0.50,2,1
2,0.255830,0.50,2,1
3,0.253972,0.50,2,1
4,0.252544,0.50,2,1
5,0.251493,0.50,2,1
6,0.250766,0.50,2,1
7,0.250307,0.50,2,1
8,0.250067,0.50,2,1
9,0.249992,0.50,2,1
10,0.250032,0.50,2,1
11,0.250140,0.50,2,1
12,0.250273,0.50,2,1
13,0.250397,0.50,2,1
14,0.250487,0.50,2,1
15,0.250529,0.50,2,1
16,0.250517,0.50,2,1
17,0.250452,0.50,2,1
18,0.250339,0.50,2,1
19,0.250186,0.50,2,1
20,0.250002,0.50,2,1
21,0.249794,0.50,2,1
22,0.249571,0.50,2,1
23,0.249338,0.50,2,1
24,0.249099,0.50,2,1
25,0.248855,0.50,2,1
26,0.248605,0.50,2,1
27,0.248345,0.50,2,1
28,0.248071,0.50,2,1
29,0.247774,0.50,2,1
30,0.247447,0.50,2,1
31,0.247080,0.50,2,1
32,0.246664,0.50,2,1
33,0.246189,0.50,2,1
34,0.245649,0.50,2,1
35,0.245035,0.50,2,1
36,0.244343,0.50,2,1
37,0.243568,0.50,2,1
38,0.242707,0.50,2,1
39,0.241761,0.50,2,1
40,0.240729,0.50,2,1
41,0.239613,0.50,2,1
42,0.238416,0.50,2,1
43,0.237142,0.50,2,1
44,0.235794,0.50,2,1
45,0.234379,0.50,2,1
46,0.232900,0.50,2,1
47,0.231365,0.50,2,1
48,0.229777,0.50,2,1
49,0.228144,0.50,2,1
50,0.226470,0.50,2,1
51,0.224761,0.50,2,1
52,0.223022,0.50,2,1
53,0.221258,0.50,2,1
54,0.219472,0.50,2,1
55,0.217671,0.50,2,1
56,0.215856,0.50,2,1
57,0.214032,0.50,2,1
58,0.212201,0.50,2,1
59,0.210367,0.50,2,1
60,0.208532,0.50,2,1
61,0.206699,0.50,2,1
62,0.204869,0.50,2,1
63,0.203044,0.50,2,1
64,0.201227,0.50,2,1
65,0.199417,0.50,2,1
66,0.197618,0.50,2,1
67,0.195831,0.50,2,1
68,0.194057,0.50,2,1
69,0.192297,0.50,2,1
70,0.190555,0.50,2,1
71,0.188832,0.50,2,1
72,0.187129,0.50,2,1
73,0.185450,0.50,2,1
74,0.183797,0.50,2,1
75,0.182172,0.50,2,1
76,0.180576,0.50,2,1
77,0.179011,0.50,2,1
78,0.177479,0.50,2,1
79,0.175980,0.50,2,1
80,0.174516,0.50,2,1
81,0.173088,0.50,2,1
82,0.171696,0.50,2,1
83,0.170342,0.50,2,1
84,0.169025,0.50,2,1
85,0.167746,0.50,2,1
86,0.166506,0.50,2,1
87,0.165304,0.50,2,1
88,0.164140,0.50,2,1
89,0.163014,0.50,2,1
90,0.161925,0.50,2,1
91,0.160873,0.50,2,1
92,0.159858,0.50,2,1
93,0.158879,0.50,2,1
94,0.157934,0.50,2,1
95,0.157024,0.50,2,1
96,0.156147,0.50,2,1
97,0.155302,0.50,2,1
98,0.154488,0.50,2,1
99,0.153705,0.50,2,1
100,0.152951,0.50,2,1
101,0.152226,0.50,2,1
102,0.151528,0.50,2,1
103,0.150856,0.50,2,1
104,0.150210,0.50,2,1
105,0.149588,0.50,2,1
106,0.148989,0.50,2,1
107,0.148413,0.50,2,1
108,0.147858,0.50,2,1
109,0.147323,0.50,2,1
110,0.146808,0.50,2,1
111,0.146312,0.50,2,1
112,0.145834,0.50,2,1
113,0.145374,0.50,2,1
114,0.144929,0.50,2,1
115,0.144501,0.50,2,1
116,0.144087,0.50,2,1
117,0.143688,0.50,2,1
118,0.143303,0.50,2,1
119,0.142931,0.50,2,1
120,0.142571,0.50,2,1
121,0.142224,0.50,2,1
122,0.141888,0.50,2,1
123,0.141563,0.50,2,1
124,0.141248,0.50,2,1
125,0.140944,0.50,2,1
126,0.140649,0.50,2,1
127,0.140364,0.50,2,1
128,0.140087,0.50,2,1
129,0.139819,0.50,2,1
130,0.139559,0.50,2,1
131,0.139307,0.50,2,1
132,0.139062,0.50,2,1
133,0.138825,0.50,2,1
134,0.138594,0.50,2,1
135,0.138370,0.50,2,1
136,0.138152,0.50,2,1
137,0.137941,0.50,2,1
138,0.137735,0.50,2,1
139,0.137535,0.50,2,1
140,0.137340,0.50,2,1
141,0.137151,0.50,2,1
142,0.136966,0.50,2,1
143,0.136786,0.50,2,1
144,0.136611,0.50,2,1
145,0.136441,0.50,2,1
146,0.136274,0.50,2,1
147,0.136112,0.50,2,1
148,0.135954,0.50,2,1
149,0.135800,0.50,2,1
150,0.135649,0.50,2,1
151,0.135502,0.50,2,1
152,0.135359,0.50,2,1
153,0.135219,0.50,2,1
154,0.135082,0.50,2,1
155,0.134948,0.50,2,1
156,0.134817,0.50,2,1
157,0.134689,0.50,2,1
158,0.134565,0.50,2,1
159,0.134442,0.50,2,1
160,0.134323,0.50,2,1
161,0.134206,0.50,2,1
162,0.134091,0.50,2,1
163,0.133979,0.50,2,1
164,0.133870,0.50,2,1
165,0.133762,0.50,2,1
166,0.133657,0.50,2,1
167,0.133554,0.50,2,1
168,0.133453,0.50,2,1
169,0.133354,0.50,2,1
170,0.133257,0.50,2,1
171,0.133162,0.50,2,1
172,0.133069,0.50,2,1
173,0.132977,0.50,2,1
174,0.132888,0.50,2,1
175,0.132800,0.50,2,1
176,0.132713,0.50,2,1
177,0.132629,0.50,2,1
178,0.132546,0.50,2,1
179,0.132464,0.50,2,1
180,0.132384,0.50,2,1
181,0.132305,0.50,2,1
182,0.132228,0.50,2,1
183,0.132152,0.50,2,1
184,0.132077,0.50,2,1
185,0.132004,0.50,2,1
186,0.131932,0.50,2,1
187,0.131861,0.50,2,1
188,0.131792,0.50,2,1
189,0.131723,0.50,2,1
190,0.131656,0.50,2,1
191,0.131590,0.50,2,1
192,0.131525,0.50,2,1
193,0.131461,0.50,2,1
194,0.131398,0.50,2,1
195,0.131336,0.50,2,1
196,0.131276,0.50,2,1
197,0.131216,0.50,2,1
198,0.131157,0.50,2,1
199,0.131099,0.50,2,1
200,0.131042,0.50,2,1
201,0.325466,0.50,16,2
202,0.281271,0.50,16,2
203,0.262169,0.50,16,2
204,0.241286,0.50,16,2
205,0.208718,0.50,16,2
206,0.184206,0.50,16,2
207,0.173821,0.50,16,2
208,0.166664,0.50,16,2
209,0.158610,0.50,16,2
210,0.152698,0.50,16,2
211,0.150237,0.50,16,2
212,0.149785,0.50,16,2
213,0.149350,0.50,16,2
214,0.147912,0.50,16,2
215,0.145567,0.50,16,2
216,0.142889,0.50,16,2
217,0.140278,0.50,16,2
218,0.137722,0.50,16,2
