step,loss,accuracy,hidden,phase
0,0.259333,0.50,2,1
1,0.256818,0.50,2,1
2,0.254768,0.50,2,1
3,0.253146,0.50,2,1
4,0.251907,0.50,2,1
5,0.251004,0.50,2,1
6,0.250389,0.50,2,1
7,0.250013,0.50,2,1
8,0.249827,0.50,2,1
9,0.249785,0.50,2,1
10,0.249840,0.50,2,1
11,0.249950,0.50,2,1
12,0.250081,0.50,2,1
13,0.250202,0.50,2,1
14,0.250295,0.50,2,1
15,0.250347,0.50,2,1
16,0.250351,0.50,2,1
17,0.250308,0.50,2,1
18,0.250221,0.50,2,1
19,0.250095,0.50,2,1
20,0.249937,0.50,2,1
21,0.249754,0.50,2,1
22,0.249551,0.50,2,1
23,0.249331,0.50,2,1
24,0.249097,0.50,2,1
25,0.248848,0.50,2,1
26,0.248583,0.50,2,1
27,0.248297,0.50,2,1
28,0.247986,0.50,2,1
29,0.247641,0.50,2,1
30,0.247256,0.50,2,1
31,0.246823,0.50,2,1
32,0.246334,0.50,2,1
33,0.245783,0.50,2,1
34,0.245163,0.50,2,1
35,0.244470,0.50,2,1
36,0.243699,0.50,2,1
37,0.242850,0.50,2,1
38,0.241919,0.50,2,1
39,0.240907,0.50,2,1
40,0.239816,0.50,2,1
41,0.238647,0.50,2,1
42,0.237403,0.50,2,1
43,0.236089,0.50,2,1
44,0.234709,0.50,2,1
45,0.233266,0.50,2,1
46,0.231766,0.50,2,1
47,0.230213,0.50,2,1
48,0.228611,0.50,2,1
49,0.226965,0.50,2,1
50,0.225280,0.50,2,1
51,0.223564,0.50,2,1
52,0.221822,0.50,2,1
53,0.220064,0.50,2,1
54,0.218298,0.50,2,1
55,0.216533,0.50,2,1
56,0.214774,0.50,2,1
57,0.213026,0.50,2,1
58,0.211288,0.50,2,1
59,0.209557,0.50,2,1
60,0.207833,0.50,2,1
61,0.206116,0.50,2,1
62,0.204410,0.50,2,1
63,0.202717,0.50,2,1
64,0.201041,0.50,2,1
65,0.199382,0.50,2,1
66,0.197741,0.50,2,1
67,0.196115,0.50,2,1
68,0.194503,0.50,2,1
69,0.192903,0.50,2,1
70,0.191314,0.50,2,1
71,0.189734,0.50,2,1
72,0.188166,0.50,2,1
73,0.186608,0.50,2,1
74,0.185063,0.50,2,1
75,0.183530,0.50,2,1
76,0.182009,0.50,2,1
77,0.180500,0.50,2,1
78,0.179004,0.50,2,1
79,0.177524,0.50,2,1
80,0.176061,0.50,2,1
81,0.174619,0.50,2,1
82,0.173200,0.50,2,1
83,0.171805,0.50,2,1
84,0.170435,0.50,2,1
85,0.169093,0.50,2,1
86,0.167779,0.50,2,1
87,0.166497,0.50,2,1
88,0.165246,0.50,2,1
89,0.164029,0.50,2,1
90,0.162845,0.50,2,1
91,0.161696,0.50,2,1
92,0.160582,0.50,2,1
93,0.159504,0.50,2,1
94,0.158461,0.50,2,1
95,0.157453,0.50,2,1
96,0.156481,0.50,2,1
97,0.155545,0.50,2,1
98,0.154643,0.50,2,1
99,0.153774,0.50,2,1
100,0.152940,0.50,2,1
101,0.152137,0.50,2,1
102,0.151366,0.50,2,1
