step,loss,accuracy,hidden,phase
0,0.261001,0.50,2,1
1,0.258312,0.50,2,1
2,0.256083,0.50,2,1
3,0.254284,0.50,2,1
4,0.252871,0.50,2,1
5,0.251799,0.50,2,1
6,0.251022,0.50,2,1
7,0.250499,0.50,2,1
8,0.250191,0.50,2,1
9,0.250056,0.50,2,1
10,0.250056,0.50,2,1
11,0.250149,0.50,2,1
12,0.250294,0.50,2,1
13,0.250454,0.50,2,1
14,0.250598,0.50,2,1
15,0.250704,0.50,2,1
16,0.250762,0.50,2,1
17,0.250768,0.50,2,1
18,0.250726,0.50,2,1
19,0.250646,0.50,2,1
20,0.250539,0.50,2,1
21,0.250417,0.50,2,1
22,0.250289,0.50,2,1
23,0.250164,0.50,2,1
24,0.250047,0.50,2,1
25,0.249941,0.50,2,1
26,0.249848,0.50,2,1
27,0.249763,0.50,2,1
28,0.249685,0.50,2,1
29,0.249606,0.50,2,1
30,0.249522,0.50,2,1
31,0.249423,0.50,2,1
32,0.249304,0.50,2,1
33,0.249156,0.50,2,1
34,0.248971,0.50,2,1
35,0.248741,0.50,2,1
36,0.248459,0.50,2,1
37,0.248115,0.50,2,1
38,0.247702,0.50,2,1
39,0.247213,0.50,2,1
40,0.246639,0.50,2,1
41,0.245977,0.50,2,1
42,0.245220,0.50,2,1
43,0.244366,0.50,2,1
44,0.243413,0.50,2,1
45,0.242361,0.50,2,1
46,0.241213,0.50,2,1
47,0.239971,0.50,2,1
48,0.238640,0.50,2,1
49,0.237228,0.50,2,1
50,0.235740,0.50,2,1
51,0.234187,0.50,2,1
52,0.232576,0.50,2,1
53,0.230917,0.50,2,1
54,0.229217,0.50,2,1
55,0.227484,0.50,2,1
56,0.225725,0.50,2,1
57,0.223943,0.50,2,1
58,0.222143,0.50,2,1
59,0.220330,0.50,2,1
60,0.218508,0.50,2,1
61,0.216683,0.50,2,1
62,0.214864,0.50,2,1
63,0.213059,0.50,2,1
64,0.211276,0.50,2,1
65,0.209524,0.50,2,1
66,0.207805,0.50,2,1
67,0.206119,0.50,2,1
68,0.204460,0.50,2,1
69,0.202821,0.50,2,1
70,0.201203,0.50,2,1
71,0.199610,0.50,2,1
72,0.198049,0.50,2,1
73,0.196528,0.50,2,1
74,0.195048,0.50,2,1
75,0.193603,0.50,2,1
76,0.192185,0.50,2,1
77,0.190790,0.50,2,1
78,0.189416,0.50,2,1
79,0.188068,0.50,2,1
80,0.186747,0.50,2,1
81,0.185450,0.50,2,1
82,0.184170,0.50,2,1
83,0.182900,0.50,2,1
84,0.181635,0.50,2,1
85,0.180375,0.50,2,1
86,0.179119,0.50,2,1
87,0.177868,0.50,2,1
88,0.176624,0.50,2,1
89,0.175388,0.50,2,1
90,0.174157,0.50,2,1
91,0.172930,0.50,2,1
92,0.171707,0.50,2,1
93,0.170488,0.50,2,1
94,0.169278,0.50,2,1
95,0.168076,0.50,2,1
96,0.166885,0.50,2,1
97,0.165704,0.50,2,1
98,0.164535,0.50,2,1
99,0.163379,0.50,2,1
100,0.162242,0.50,2,1
101,0.161124,0.50,2,1
102,0.160030,0.50,2,1
103,0.158960,0.50,2,1
104,0.157916,0.50,2,1
105,0.156899,0.50,2,1
106,0.155910,0.50,2,1
107,0.154951,0.50,2,1
108,0.154023,0.50,2,1
109,0.153127,0.50,2,1
110,0.152261,0.50,2,1
111,0.151427,0.50,2,1
112,0.150624,0.50,2,1
113,0.149852,0.50,2,1
114,0.149110,0.50,2,1
115,0.148399,0.50,2,1
116,0.147716,0.50,2,1
117,0.147063,0.50,2,1
118,0.146437,0.50,2,1
119,0.145838,0.50,2,1
120,0.145264,0.50,2,1
121,0.144715,0.50,2,1
122,0.144190,0.50,2,1
123,0.143688,0.50,2,1
124,0.143207,0.50,2,1
125,0.142747,0.50,2,1
126,0.142307,0.50,2,1
127,0.141885,0.50,2,1
128,0.141482,0.50,2,1
129,0.141095,0.50,2,1
130,0.140724,0.50,2,1
131,0.140368,0.50,2,1
132,0.140027,0.50,2,1
133,0.139700,0.50,2,1
134,0.139385,0.50,2,1
135,0.139083,0.50,2,1
136,0.138793,0.50,2,1
137,0.138513,0.50,2,1
138,0.138244,0.50,2,1
139,0.137985,0.50,2,1
140,0.137735,0.50,2,1
141,0.137495,0.50,2,1
142,0.137262,0.50,2,1
143,0.137038,0.50,2,1
144,0.136822,0.50,2,1
145,0.136613,0.50,2,1
146,0.136410,0.50,2,1
147,0.136215,0.50,2,1
148,0.136025,0.50,2,1
149,0.135842,0.50,2,1
150,0.135664,0.50,2,1
151,0.135492,0.50,2,1
152,0.135325,0.50,2,1
153,0.135163,0.50,2,1
154,0.135005,0.50,2,1
155,0.134853,0.50,2,1
156,0.134704,0.50,2,1
157,0.134560,0.50,2,1
158,0.134419,0.50,2,1
159,0.134283,0.50,2,1
160,0.134150,0.50,2,1
161,0.134021,0.50,2,1
162,0.133895,0.50,2,1
163,0.133772,0.50,2,1
164,0.133652,0.50,2,1
165,0.133535,0.50,2,1
166,0.133422,0.50,2,1
167,0.133311,0.50,2,1
168,0.133202,0.50,2,1
169,0.133096,0.50,2,1
170,0.132993,0.50,2,1
171,0.132892,0.50,2,1
172,0.132793,0.50,2,1
173,0.132697,0.50,2,1
174,0.132602,0.50,2,1
175,0.132510,0.50,2,1
176,0.132420,0.50,2,1
177,0.132332,0.50,2,1
178,0.132245,0.50,2,1
179,0.132160,0.50,2,1
180,0.132078,0.50,2,1
181,0.131996,0.50,2,1
182,0.131917,0.50,2,1
183,0.131839,0.50,2,1
184,0.131762,0.50,2,1
185,0.131687,0.50,2,1
186,0.131614,0.50,2,1
187,0.131542,0.50,2,1
188,0.131471,0.50,2,1
189,0.131402,0.50,2,1
190,0.131334,0.50,2,1
191,0.131267,0.50,2,1
192,0.131202,0.50,2,1
193,0.131137,0.50,2,1
194,0.131074,0.50,2,1
195,0.131012,0.50,2,1
196,0.130951,0.50,2,1
197,0.130891,0.50,2,1
198,0.130832,0.50,2,1
199,0.130774,0.50,2,1
200,0.130717,0.50,2,1
201,0.344586,0.50,16,2
202,0.315175,0.50,16,2
203,0.262820,0.50,16,2
204,0.211877,0.50,16,2
205,0.173168,0.50,16,2
206,0.168060,0.50,16,2
207,0.161527,0.50,16,2
208,0.152337,0.50,16,2
209,0.138084,0.50,16,2
210,0.122115,0.50,16,2
211,0.104663,0.50,16,2
212,0.085509,0.75,16,2
213,0.067222,0.75,16,2
214,0.055078,0.75,16,2
215,0.050751,0.75,16,2
216,0.045175,0.75,16,2
217,0.040718,0.75,16,2
218,0.033635,0.75,16,2
219,0.025039,0.75,16,2
220,0.019843,0.75,16,2
221,0.017898,0.75,16,2
222,0.016304,0.75,16,2
223,0.013875,0.75,16,2
224,0.012036,0.75,16,2
225,0.010896,0.75,16,2
226,0.009395,1.00,16,2
227,0.007450,1.00,16,2
228,0.005740,1.00,16,2
229,0.004646,1.00,16,2
230,0.004098,1.00,16,2
231,0.003862,1.00,16,2
232,0.003701,1.00,16,2
233,0.003462,1.00,16,2
234,0.003113,1.00,16,2
235,0.002720,1.00,16,2
236,0.002368,1.00,16,2
237,0.002106,1.00,16,2
238,0.001935,1.00,16,2
