step,loss,accuracy,hidden,phase
0,0.251337,0.50,2,1
1,0.250381,0.50,2,1
2,0.249697,0.50,2,1
3,0.249238,0.50,2,1
4,0.248943,0.50,2,1
5,0.248737,0.50,2,1
6,0.248547,0.50,2,1
7,0.248318,0.50,2,1
8,0.248016,0.50,2,1
9,0.247631,0.50,2,1
10,0.247166,0.50,2,1
11,0.246627,0.50,2,1
12,0.246021,0.50,2,1
13,0.245351,0.50,2,1
14,0.244616,0.50,2,1
15,0.243814,0.50,2,1
16,0.242941,0.50,2,1
17,0.241996,0.50,2,1
18,0.240975,0.50,2,1
19,0.239876,0.50,2,1
20,0.238698,0.50,2,1
21,0.237441,0.50,2,1
22,0.236104,0.50,2,1
23,0.234689,0.50,2,1
24,0.233200,0.50,2,1
25,0.231640,0.50,2,1
26,0.230014,0.50,2,1
27,0.228330,0.50,2,1
28,0.226592,0.50,2,1
29,0.224806,0.50,2,1
30,0.222977,0.50,2,1
31,0.221108,0.50,2,1
32,0.219205,0.50,2,1
33,0.217270,0.50,2,1
34,0.215309,0.50,2,1
35,0.213327,0.50,2,1
36,0.211332,0.50,2,1
37,0.209328,0.50,2,1
38,0.207323,0.50,2,1
39,0.205320,0.50,2,1
40,0.203326,0.50,2,1
41,0.201343,0.50,2,1
42,0.199375,0.50,2,1
43,0.197425,0.50,2,1
44,0.195495,0.50,2,1
45,0.193590,0.50,2,1
46,0.191713,0.50,2,1
47,0.189866,0.50,2,1
48,0.188051,0.50,2,1
49,0.186271,0.50,2,1
50,0.184526,0.50,2,1
51,0.182817,0.50,2,1
52,0.181147,0.50,2,1
53,0.179515,0.50,2,1
54,0.177924,0.50,2,1
55,0.176375,0.50,2,1
56,0.174867,0.50,2,1
57,0.173402,0.50,2,1
58,0.171978,0.50,2,1
59,0.170597,0.50,2,1
60,0.169258,0.50,2,1
61,0.167960,0.50,2,1
62,0.166704,0.50,2,1
63,0.165489,0.50,2,1
64,0.164315,0.50,2,1
65,0.163180,0.50,2,1
66,0.162084,0.50,2,1
67,0.161026,0.50,2,1
68,0.160005,0.50,2,1
69,0.159020,0.50,2,1
