step,loss,accuracy,hidden,phase
0,0.250097,0.50,2,1
1,0.250032,0.50,2,1
2,0.250065,0.50,2,1
3,0.250024,0.50,2,1
4,0.250001,0.50,2,1
5,0.250017,0.50,2,1
6,0.250027,0.50,2,1
7,0.250015,0.50,2,1
8,0.250000,0.50,2,1
9,0.249999,0.50,2,1
10,0.250008,0.50,2,1
11,0.250012,0.50,2,1
12,0.250005,0.50,2,1
13,0.249996,0.50,2,1
14,0.249993,0.50,2,1
15,0.249996,0.50,2,1
16,0.249997,0.50,2,1
17,0.249993,0.50,2,1
18,0.249985,0.50,2,1
19,0.249978,0.50,2,1
20,0.249973,0.50,2,1
21,0.249968,0.50,2,1
22,0.249958,0.50,2,1
23,0.249942,0.50,2,1
24,0.249920,0.50,2,1
25,0.249894,0.50,2,1
26,0.249861,0.50,2,1
27,0.249816,0.50,2,1
28,0.249753,0.50,2,1
29,0.249664,0.50,2,1
30,0.249544,0.50,2,1
31,0.249381,0.50,2,1
32,0.249165,0.50,2,1
33,0.248881,0.50,2,1
34,0.248515,0.50,2,1
35,0.248052,0.50,2,1
36,0.247478,0.50,2,1
37,0.246780,0.50,2,1
38,0.245947,0.50,2,1
39,0.244970,0.50,2,1
40,0.243842,0.50,2,1
41,0.242558,0.50,2,1
42,0.241114,0.50,2,1
43,0.239512,0.50,2,1
44,0.237751,0.50,2,1
45,0.235835,0.50,2,1
46,0.233773,0.50,2,1
47,0.231575,0.50,2,1
48,0.229253,0.50,2,1
49,0.226821,0.50,2,1
50,0.224297,0.50,2,1
51,0.221694,0.50,2,1
52,0.219030,0.50,2,1
53,0.216320,0.50,2,1
54,0.213582,0.50,2,1
55,0.210830,0.50,2,1
56,0.208081,0.50,2,1
57,0.205347,0.50,2,1
58,0.202640,0.50,2,1
59,0.199971,0.50,2,1
60,0.197350,0.50,2,1
61,0.194785,0.50,2,1
62,0.192281,0.50,2,1
63,0.189844,0.50,2,1
64,0.187480,0.50,2,1
65,0.185190,0.50,2,1
66,0.182977,0.50,2,1
67,0.180842,0.50,2,1
68,0.178785,0.50,2,1
69,0.176808,0.50,2,1
70,0.174908,0.50,2,1
71,0.173086,0.50,2,1
72,0.171339,0.50,2,1
73,0.169666,0.50,2,1
74,0.168066,0.50,2,1
75,0.166535,0.50,2,1
76,0.165073,0.50,2,1
77,0.163675,0.50,2,1
78,0.162341,0.50,2,1
79,0.161066,0.50,2,1
80,0.159850,0.50,2,1
81,0.158690,0.50,2,1
82,0.157582,0.50,2,1
83,0.156525,0.50,2,1
84,0.155517,0.50,2,1
85,0.154554,0.50,2,1
86,0.153636,0.50,2,1
87,0.152759,0.50,2,1
88,0.151922,0.50,2,1
89,0.151122,0.50,2,1
90,0.150358,0.50,2,1
91,0.149628,0.50,2,1
92,0.148931,0.50,2,1
93,0.148264,0.50,2,1
94,0.147626,0.50,2,1
95,0.147016,0.50,2,1
96,0.146432,0.50,2,1
97,0.145872,0.50,2,1
98,0.145336,0.50,2,1
99,0.144823,0.50,2,1
100,0.144330,0.50,2,1
101,0.143858,0.50,2,1
102,0.143404,0.50,2,1
103,0.142969,0.50,2,1
104,0.142550,0.50,2,1
105,0.142149,0.50,2,1
106,0.141762,0.50,2,1
107,0.141390,0.50,2,1
108,0.141032,0.50,2,1
109,0.140688,0.50,2,1
110,0.140356,0.50,2,1
111,0.140036,0.50,2,1
112,0.139727,0.50,2,1
113,0.139429,0.50,2,1
114,0.139142,0.50,2,1
115,0.138864,0.50,2,1
116,0.138596,0.50,2,1
117,0.138337,0.50,2,1
118,0.138086,0.50,2,1
119,0.137844,0.50,2,1
120,0.137609,0.50,2,1
121,0.137382,0.50,2,1
122,0.137162,0.50,2,1
123,0.136949,0.50,2,1
124,0.136742,0.50,2,1
125,0.136541,0.50,2,1
126,0.136347,0.50,2,1
127,0.136158,0.50,2,1
128,0.135974,0.50,2,1
