step,loss,accuracy,hidden,phase
0,0.252807,0.50,2,1
1,0.251596,0.50,2,1
2,0.250707,0.50,2,1
3,0.250125,0.50,2,1
4,0.249807,0.50,2,1
5,0.249676,0.50,2,1
6,0.249644,0.50,2,1
7,0.249636,0.50,2,1
8,0.249597,0.50,2,1
9,0.249494,0.50,2,1
10,0.249319,0.50,2,1
11,0.249077,0.50,2,1
12,0.248780,0.50,2,1
13,0.248442,0.50,2,1
14,0.248071,0.50,2,1
15,0.247672,0.50,2,1
16,0.247241,0.50,2,1
17,0.246771,0.50,2,1
18,0.246252,0.50,2,1
19,0.245672,0.50,2,1
20,0.245022,0.50,2,1
21,0.244294,0.50,2,1
22,0.243482,0.50,2,1
23,0.242585,0.50,2,1
24,0.241599,0.50,2,1
25,0.240528,0.50,2,1
26,0.239371,0.50,2,1
27,0.238133,0.50,2,1
28,0.236817,0.50,2,1
29,0.235429,0.50,2,1
30,0.233973,0.50,2,1
31,0.232455,0.50,2,1
32,0.230880,0.50,2,1
33,0.229253,0.50,2,1
34,0.227578,0.50,2,1
35,0.225858,0.50,2,1
36,0.224098,0.50,2,1
37,0.222303,0.50,2,1
38,0.220476,0.50,2,1
39,0.218623,0.50,2,1
40,0.216750,0.50,2,1
41,0.214860,0.50,2,1
42,0.212960,0.50,2,1
43,0.211054,0.50,2,1
44,0.209146,0.50,2,1
45,0.207239,0.50,2,1
46,0.205336,0.50,2,1
47,0.203438,0.50,2,1
48,0.201549,0.50,2,1
49,0.199671,0.50,2,1
50,0.197806,0.50,2,1
51,0.195959,0.50,2,1
52,0.194129,0.50,2,1
53,0.192318,0.50,2,1
54,0.190526,0.50,2,1
55,0.188757,0.50,2,1
56,0.187011,0.50,2,1
57,0.185293,0.50,2,1
58,0.183603,0.50,2,1
59,0.181943,0.50,2,1
60,0.180315,0.50,2,1
61,0.178719,0.50,2,1
62,0.177156,0.50,2,1
63,0.175628,0.50,2,1
64,0.174136,0.50,2,1
65,0.172681,0.50,2,1
66,0.171262,0.50,2,1
67,0.169882,0.50,2,1
68,0.168539,0.50,2,1
69,0.167234,0.50,2,1
70,0.165969,0.50,2,1
71,0.164743,0.50,2,1
72,0.163555,0.50,2,1
73,0.162406,0.50,2,1
74,0.161295,0.50,2,1
75,0.160222,0.50,2,1
76,0.159186,0.50,2,1
77,0.158186,0.50,2,1
78,0.157223,0.50,2,1
79,0.156294,0.50,2,1
80,0.155400,0.50,2,1
81,0.154539,0.50,2,1
82,0.153710,0.50,2,1
83,0.152912,0.50,2,1
84,0.152145,0.50,2,1
