step,loss,accuracy,hidden,phase
0,0.255093,0.50,2,1
1,0.253490,0.50,2,1
2,0.252238,0.50,2,1
3,0.251305,0.50,2,1
4,0.250658,0.50,2,1
5,0.250257,0.50,2,1
6,0.250043,0.50,2,1
7,0.249954,0.50,2,1
8,0.249937,0.50,2,1
9,0.249947,0.50,2,1
10,0.249949,0.50,2,1
11,0.249918,0.50,2,1
12,0.249838,0.50,2,1
13,0.249705,0.50,2,1
14,0.249516,0.50,2,1
15,0.249279,0.50,2,1
16,0.249000,0.50,2,1
17,0.248686,0.50,2,1
18,0.248344,0.50,2,1
19,0.247976,0.50,2,1
20,0.247583,0.50,2,1
21,0.247161,0.50,2,1
22,0.246704,0.50,2,1
23,0.246202,0.50,2,1
24,0.245647,0.50,2,1
25,0.245029,0.50,2,1
26,0.244339,0.50,2,1
27,0.243571,0.50,2,1
28,0.242720,0.50,2,1
29,0.241784,0.50,2,1
30,0.240761,0.50,2,1
31,0.239652,0.50,2,1
32,0.238459,0.50,2,1
33,0.237186,0.50,2,1
34,0.235836,0.50,2,1
35,0.234415,0.50,2,1
36,0.232928,0.50,2,1
37,0.231381,0.50,2,1
38,0.229780,0.50,2,1
39,0.228132,0.50,2,1
40,0.226441,0.50,2,1
41,0.224715,0.50,2,1
42,0.222959,0.50,2,1
43,0.221178,0.50,2,1
44,0.219378,0.50,2,1
45,0.217563,0.50,2,1
46,0.215736,0.50,2,1
47,0.213902,0.50,2,1
48,0.212063,0.50,2,1
49,0.210222,0.50,2,1
50,0.208381,0.50,2,1
51,0.206542,0.50,2,1
52,0.204708,0.50,2,1
53,0.202880,0.50,2,1
54,0.201063,0.50,2,1
55,0.199256,0.50,2,1
56,0.197463,0.50,2,1
57,0.195685,0.50,2,1
58,0.193924,0.50,2,1
59,0.192179,0.50,2,1
60,0.190453,0.50,2,1
61,0.188745,0.50,2,1
62,0.187058,0.50,2,1
63,0.185392,0.50,2,1
64,0.183750,0.50,2,1
65,0.182132,0.50,2,1
66,0.180541,0.50,2,1
67,0.178976,0.50,2,1
68,0.177441,0.50,2,1
69,0.175934,0.50,2,1
70,0.174459,0.50,2,1
71,0.173015,0.50,2,1
72,0.171604,0.50,2,1
73,0.170228,0.50,2,1
74,0.168888,0.50,2,1
75,0.167583,0.50,2,1
