step,loss,accuracy,hidden,phase
0,0.253731,0.50,2,1
1,0.252465,0.50,2,1
2,0.251516,0.50,2,1
3,0.250879,0.50,2,1
4,0.250492,0.50,2,1
5,0.250295,0.50,2,1
6,0.250212,0.50,2,1
7,0.250174,0.50,2,1
8,0.250126,0.50,2,1
9,0.250043,0.50,2,1
10,0.249922,0.50,2,1
11,0.249776,0.50,2,1
12,0.249620,0.50,2,1
13,0.249467,0.50,2,1
14,0.249326,0.50,2,1
15,0.249199,0.50,2,1
16,0.249086,0.50,2,1
17,0.248980,0.50,2,1
18,0.248877,0.50,2,1
19,0.248768,0.50,2,1
20,0.248650,0.50,2,1
21,0.248518,0.50,2,1
22,0.248372,0.50,2,1
23,0.248211,0.50,2,1
24,0.248038,0.50,2,1
25,0.247854,0.50,2,1
26,0.247661,0.50,2,1
27,0.247457,0.50,2,1
28,0.247242,0.50,2,1
29,0.247013,0.50,2,1
30,0.246765,0.50,2,1
31,0.246495,0.50,2,1
32,0.246200,0.50,2,1
33,0.245876,0.50,2,1
34,0.245523,0.50,2,1
35,0.245139,0.50,2,1
36,0.244723,0.50,2,1
37,0.244276,0.50,2,1
38,0.243798,0.50,2,1
39,0.243288,0.50,2,1
40,0.242747,0.50,2,1
41,0.242176,0.50,2,1
42,0.241572,0.50,2,1
43,0.240938,0.50,2,1
44,0.240272,0.50,2,1
45,0.239575,0.50,2,1
46,0.238848,0.50,2,1
47,0.238089,0.50,2,1
48,0.237297,0.50,2,1
49,0.236471,0.50,2,1
50,0.235609,0.50,2,1
51,0.234705,0.50,2,1
52,0.233759,0.50,2,1
53,0.232769,0.50,2,1
54,0.231735,0.50,2,1
55,0.230663,0.50,2,1
56,0.229557,0.50,2,1
57,0.228420,0.50,2,1
58,0.227249,0.50,2,1
59,0.226042,0.50,2,1
60,0.224796,0.50,2,1
61,0.223512,0.50,2,1
62,0.222196,0.50,2,1
63,0.220855,0.50,2,1
64,0.219497,0.50,2,1
65,0.218126,0.50,2,1
66,0.216747,0.50,2,1
67,0.215365,0.50,2,1
68,0.213983,0.50,2,1
69,0.212604,0.50,2,1
70,0.211235,0.50,2,1
71,0.209879,0.50,2,1
72,0.208543,0.50,2,1
73,0.207231,0.50,2,1
74,0.205948,0.50,2,1
75,0.204695,0.50,2,1
76,0.203475,0.50,2,1
77,0.202291,0.50,2,1
78,0.201143,0.50,2,1
79,0.200035,0.50,2,1
80,0.198968,0.50,2,1
81,0.197943,0.50,2,1
82,0.196963,0.50,2,1
83,0.196025,0.50,2,1
84,0.195131,0.50,2,1
85,0.194280,0.50,2,1
86,0.193469,0.50,2,1
87,0.192700,0.50,2,1
88,0.191970,0.50,2,1
89,0.191278,0.50,2,1
90,0.190623,0.50,2,1
91,0.190005,0.50,2,1
92,0.189420,0.50,2,1
93,0.188868,0.50,2,1
94,0.188347,0.50,2,1
95,0.187854,0.50,2,1
96,0.187390,0.50,2,1
97,0.186951,0.50,2,1
98,0.186537,0.50,2,1
99,0.186147,0.50,2,1
100,0.185778,0.50,2,1
101,0.185430,0.50,2,1
102,0.185102,0.50,2,1
103,0.184791,0.50,2,1
104,0.184498,0.50,2,1
105,0.184220,0.50,2,1
106,0.183957,0.50,2,1
107,0.183708,0.50,2,1
108,0.183472,0.50,2,1
109,0.183249,0.50,2,1
110,0.183037,0.50,2,1
111,0.182835,0.50,2,1
112,0.182644,0.50,2,1
113,0.182462,0.50,2,1
114,0.182289,0.50,2,1
115,0.182124,0.50,2,1
116,0.181967,0.50,2,1
117,0.181818,0.50,2,1
