step,loss,accuracy,hidden,phase
0,0.295335,0.50,2,1
1,0.289213,0.50,2,1
2,0.283426,0.50,2,1
3,0.278038,0.50,2,1
4,0.273104,0.50,2,1
5,0.268666,0.50,2,1
6,0.264753,0.50,2,1
7,0.261377,0.50,2,1
8,0.258530,0.50,2,1
9,0.256190,0.50,2,1
10,0.254318,0.50,2,1
11,0.252868,0.50,2,1
12,0.251785,0.50,2,1
13,0.251015,0.50,2,1
14,0.250503,0.50,2,1
15,0.250198,0.50,2,1
16,0.250055,0.50,2,1
17,0.250033,0.50,2,1
18,0.250098,0.50,2,1
19,0.250220,0.50,2,1
20,0.250373,0.50,2,1
21,0.250539,0.50,2,1
22,0.250702,0.50,2,1
23,0.250849,0.50,2,1
24,0.250972,0.50,2,1
25,0.251067,0.50,2,1
26,0.251130,0.50,2,1
27,0.251161,0.50,2,1
28,0.251161,0.50,2,1
29,0.251133,0.50,2,1
30,0.251081,0.50,2,1
31,0.251007,0.50,2,1
32,0.250918,0.50,2,1
33,0.250817,0.50,2,1
34,0.250708,0.50,2,1
35,0.250596,0.50,2,1
36,0.250484,0.50,2,1
37,0.250374,0.50,2,1
38,0.250270,0.50,2,1
39,0.250171,0.50,2,1
40,0.250081,0.50,2,1
41,0.249998,0.50,2,1
42,0.249923,0.50,2,1
43,0.249855,0.50,2,1
44,0.249794,0.50,2,1
45,0.249739,0.50,2,1
46,0.249688,0.50,2,1
47,0.249640,0.50,2,1
48,0.249592,0.50,2,1
49,0.249545,0.50,2,1
50,0.249494,0.50,2,1
51,0.249439,0.50,2,1
52,0.249379,0.50,2,1
53,0.249310,0.50,2,1
54,0.249231,0.50,2,1
55,0.249140,0.50,2,1
56,0.249036,0.50,2,1
57,0.248915,0.50,2,1
58,0.248776,0.50,2,1
59,0.248616,0.50,2,1
60,0.248433,0.50,2,1
61,0.248224,0.50,2,1
62,0.247986,0.50,2,1
63,0.247717,0.50,2,1
64,0.247412,0.50,2,1
65,0.247069,0.50,2,1
66,0.246683,0.50,2,1
67,0.246253,0.50,2,1
68,0.245775,0.50,2,1
69,0.245246,0.50,2,1
70,0.244663,0.50,2,1
71,0.244024,0.50,2,1
72,0.243329,0.50,2,1
73,0.242575,0.50,2,1
74,0.241763,0.50,2,1
75,0.240892,0.50,2,1
76,0.239965,0.50,2,1
77,0.238982,0.50,2,1
78,0.237946,0.50,2,1
79,0.236859,0.50,2,1
80,0.235726,0.50,2,1
81,0.234550,0.50,2,1
82,0.233335,0.50,2,1
83,0.232085,0.50,2,1
84,0.230805,0.50,2,1
85,0.229499,0.50,2,1
86,0.228172,0.50,2,1
87,0.226828,0.50,2,1
88,0.225472,0.50,2,1
89,0.224107,0.50,2,1
90,0.222738,0.50,2,1
91,0.221367,0.50,2,1
92,0.219999,0.50,2,1
93,0.218635,0.50,2,1
94,0.217278,0.50,2,1
95,0.215931,0.50,2,1
96,0.214595,0.50,2,1
97,0.213272,0.50,2,1
98,0.211964,0.50,2,1
99,0.210671,0.50,2,1
100,0.209393,0.50,2,1
101,0.208133,0.50,2,1
102,0.206889,0.50,2,1
103,0.205663,0.50,2,1
104,0.204455,0.50,2,1
105,0.203264,0.50,2,1
106,0.202091,0.50,2,1
107,0.200936,0.50,2,1
108,0.199799,0.50,2,1
109,0.198680,0.50,2,1
110,0.197580,0.50,2,1
111,0.196499,0.50,2,1
112,0.195437,0.50,2,1
113,0.194393,0.50,2,1
114,0.193368,0.50,2,1
115,0.192361,0.50,2,1
116,0.191373,0.50,2,1
117,0.190402,0.50,2,1
118,0.189449,0.50,2,1
119,0.188512,0.50,2,1
120,0.187591,0.50,2,1
121,0.186686,0.50,2,1
122,0.185796,0.50,2,1
123,0.184921,0.50,2,1
124,0.184060,0.50,2,1
125,0.183215,0.50,2,1
126,0.182384,0.50,2,1
127,0.181568,0.50,2,1
128,0.180767,0.50,2,1
129,0.179979,0.50,2,1
130,0.179206,0.50,2,1
131,0.178445,0.50,2,1
132,0.177697,0.50,2,1
133,0.176962,0.50,2,1
134,0.176238,0.50,2,1
135,0.175525,0.50,2,1
136,0.174824,0.50,2,1
137,0.174134,0.50,2,1
138,0.173454,0.50,2,1
139,0.172784,0.50,2,1
140,0.172125,0.50,2,1
141,0.171475,0.50,2,1
142,0.170835,0.50,2,1
143,0.170203,0.50,2,1
144,0.169579,0.50,2,1
145,0.168964,0.50,2,1
146,0.168356,0.50,2,1
147,0.167756,0.50,2,1
148,0.167163,0.50,2,1
149,0.166577,0.50,2,1
150,0.165997,0.50,2,1
151,0.165423,0.50,2,1
152,0.164854,0.50,2,1
153,0.164290,0.50,2,1
154,0.163731,0.50,2,1
155,0.163175,0.50,2,1
156,0.162622,0.50,2,1
157,0.162072,0.50,2,1
158,0.161523,0.50,2,1
159,0.160975,0.50,2,1
160,0.160427,0.50,2,1
161,0.159878,0.50,2,1
162,0.159327,0.50,2,1
163,0.158774,0.50,2,1
164,0.158216,0.50,2,1
165,0.157653,0.50,2,1
166,0.157084,0.50,2,1
167,0.156508,0.50,2,1
168,0.155925,0.50,2,1
169,0.155335,0.50,2,1
170,0.154736,0.50,2,1
