step,loss,accuracy,hidden,phase
0,0.272398,0.50,2,1
1,0.269801,0.50,2,1
2,0.267445,0.50,2,1
3,0.265296,0.50,2,1
4,0.263333,0.50,2,1
5,0.261543,0.50,2,1
6,0.259917,0.50,2,1
7,0.258445,0.50,2,1
8,0.257119,0.50,2,1
9,0.255931,0.50,2,1
10,0.254878,0.50,2,1
11,0.253955,0.50,2,1
12,0.253161,0.50,2,1
13,0.252494,0.50,2,1
14,0.251948,0.50,2,1
15,0.251521,0.50,2,1
16,0.251204,0.50,2,1
17,0.250989,0.50,2,1
18,0.250862,0.50,2,1
19,0.250808,0.50,2,1
20,0.250809,0.50,2,1
21,0.250845,0.50,2,1
22,0.250895,0.50,2,1
23,0.250941,0.50,2,1
24,0.250967,0.50,2,1
25,0.250961,0.50,2,1
26,0.250918,0.50,2,1
27,0.250838,0.50,2,1
28,0.250727,0.50,2,1
29,0.250596,0.50,2,1
30,0.250457,0.50,2,1
31,0.250322,0.50,2,1
32,0.250203,0.50,2,1
33,0.250106,0.50,2,1
34,0.250035,0.50,2,1
35,0.249987,0.50,2,1
36,0.249957,0.50,2,1
37,0.249938,0.50,2,1
38,0.249920,0.50,2,1
39,0.249894,0.50,2,1
40,0.249852,0.50,2,1
41,0.249790,0.50,2,1
42,0.249703,0.50,2,1
43,0.249592,0.50,2,1
44,0.249456,0.50,2,1
45,0.249297,0.50,2,1
46,0.249118,0.50,2,1
47,0.248919,0.50,2,1
48,0.248700,0.50,2,1
49,0.248459,0.50,2,1
50,0.248193,0.50,2,1
51,0.247895,0.50,2,1
52,0.247560,0.50,2,1
53,0.247182,0.50,2,1
54,0.246759,0.50,2,1
55,0.246289,0.50,2,1
56,0.245776,0.50,2,1
57,0.245223,0.50,2,1
58,0.244633,0.50,2,1
59,0.244012,0.50,2,1
60,0.243360,0.50,2,1
61,0.242677,0.50,2,1
62,0.241961,0.50,2,1
63,0.241207,0.50,2,1
64,0.240415,0.50,2,1
65,0.239582,0.50,2,1
66,0.238708,0.50,2,1
67,0.237796,0.50,2,1
68,0.236848,0.50,2,1
69,0.235866,0.50,2,1
70,0.234852,0.50,2,1
71,0.233805,0.50,2,1
72,0.232724,0.50,2,1
73,0.231607,0.50,2,1
74,0.230453,0.50,2,1
75,0.229264,0.50,2,1
76,0.228040,0.50,2,1
77,0.226785,0.50,2,1
78,0.225501,0.50,2,1
79,0.224191,0.50,2,1
80,0.222858,0.50,2,1
81,0.221505,0.50,2,1
82,0.220135,0.50,2,1
83,0.218752,0.50,2,1
84,0.217360,0.50,2,1
85,0.215964,0.50,2,1
86,0.214569,0.50,2,1
87,0.213182,0.50,2,1
88,0.211806,0.50,2,1
89,0.210447,0.50,2,1
90,0.209109,0.50,2,1
91,0.207796,0.50,2,1
92,0.206512,0.50,2,1
93,0.205262,0.50,2,1
94,0.204048,0.50,2,1
95,0.202875,0.50,2,1
96,0.201745,0.50,2,1
97,0.200660,0.50,2,1
98,0.199622,0.50,2,1
99,0.198631,0.50,2,1
100,0.197689,0.50,2,1
101,0.196795,0.50,2,1
102,0.195948,0.50,2,1
103,0.195148,0.50,2,1
104,0.194394,0.50,2,1
105,0.193684,0.50,2,1
106,0.193017,0.50,2,1
107,0.192390,0.50,2,1
108,0.191803,0.50,2,1
109,0.191252,0.50,2,1
110,0.190736,0.50,2,1
111,0.190254,0.50,2,1
112,0.189802,0.50,2,1
113,0.189379,0.50,2,1
114,0.188984,0.50,2,1
115,0.188614,0.50,2,1
116,0.188267,0.50,2,1
117,0.187943,0.50,2,1
118,0.187639,0.50,2,1
119,0.187355,0.50,2,1
120,0.187088,0.50,2,1
121,0.186838,0.50,2,1
122,0.186603,0.50,2,1
123,0.186382,0.50,2,1
124,0.186175,0.50,2,1
125,0.185979,0.50,2,1
126,0.185795,0.50,2,1
127,0.185622,0.50,2,1
128,0.185458,0.50,2,1
129,0.185304,0.50,2,1
130,0.185158,0.50,2,1
131,0.185020,0.50,2,1
132,0.184889,0.50,2,1
133,0.184765,0.50,2,1
134,0.184647,0.50,2,1
135,0.184535,0.50,2,1
136,0.184429,0.50,2,1
137,0.184328,0.50,2,1
138,0.184231,0.50,2,1
139,0.184139,0.50,2,1
